# ===== Aggregated and Sorted Prefixes =====
# Overall unique blocked IPs -> IPv4: 37,857,536 ; IPv6: 0
# Total output prefixes: 2623
#
38.211.80.0/20  
81.92.200.0/22  
# --- ISP: 16 COLLYER QUAY # 18-29 INCOME AT RAFFLES | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
101.33.12.0/22       # 16 COLLYER QUAY # 18-29 INCOME AT RAFFLES
# --- ISP: BWAY AMSTERDAM | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
158.115.252.0/22     # BWAY AMSTERDAM

# --- ISP: BWAY-SINGAPORE | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
206.127.220.0/22     # BWAY-SINGAPORE

# --- ISP: Capcon Networks LLC | prefixes: 1 | IPv4 addrs: 2,048 | IPv6 addrs: 0 ---
38.147.88.0/21       # Capcon Networks LLC

# --- ISP: CCE Cogent Internet Services Limited | prefixes: 2 | IPv4 addrs: 6,144 | IPv6 addrs: 0 ---
46.17.32.0/21        # CCE Cogent Internet Services Limited
80.93.0.0/20         # CCE Cogent Internet Services Limited

# --- ISP: CDN77 - CHI POP | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
89.187.180.0/22      # CDN77 - CHI POP

# --- ISP: CDN77 - Milano | prefixes: 1 | IPv4 addrs: 512 | IPv6 addrs: 0 ---
212.102.54.0/23      # CDN77 - Milano

# --- ISP: CDN77 - VIE POP | prefixes: 2 | IPv4 addrs: 512 | IPv6 addrs: 0 ---
89.187.168.0/24      # CDN77 - VIE POP
185.180.12.0/24      # CDN77 - VIE POP

# --- ISP: CDN77 Buenos Aires POP | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
87.249.130.0/24      # CDN77 Buenos Aires POP

# --- ISP: CDN77 Dallas | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
89.187.164.0/24      # CDN77 Dallas

# --- ISP: CDN77 FUJAIRAH | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
37.19.219.0/24       # CDN77 FUJAIRAH

# --- ISP: CDN77 Hong Kong | prefixes: 1 | IPv4 addrs: 512 | IPv6 addrs: 0 ---
84.17.56.0/23        # CDN77 Hong Kong

# --- ISP: CDN77 MAD | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
84.17.62.0/24        # CDN77 MAD

# --- ISP: CDN77 Singapore | prefixes: 1 | IPv4 addrs: 512 | IPv6 addrs: 0 ---
89.187.162.0/23      # CDN77 Singapore

# --- ISP: CDN77 Stockholm | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
37.19.222.0/24       # CDN77 Stockholm

# --- ISP: CDN77 Tokyo | prefixes: 2 | IPv4 addrs: 768 | IPv6 addrs: 0 ---
87.249.128.0/24      # CDN77 Tokyo
89.187.160.0/23      # CDN77 Tokyo

# --- ISP: CDN77 Zurich | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
89.187.165.0/24      # CDN77 Zurich

# --- ISP: CDN77-PRG | prefixes: 1 | IPv4 addrs: 512 | IPv6 addrs: 0 ---
195.181.160.0/23     # CDN77-PRG

# --- ISP: CDN77.com | prefixes: 2 | IPv4 addrs: 1,280 | IPv6 addrs: 0 ---
185.93.0.0/22        # CDN77.com
195.181.167.0/24     # CDN77.com

# --- ISP: CDN77.com Amsterdam (Netherlands) POP | prefixes: 3 | IPv4 addrs: 768 | IPv6 addrs: 0 ---
185.59.222.0/24      # CDN77.com Amsterdam (Netherlands) POP
185.76.10.0/24       # CDN77.com Amsterdam (Netherlands) POP
185.102.218.0/24     # CDN77.com Amsterdam (Netherlands) POP

# --- ISP: CDN77.com Chicago (US) POP | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
185.246.209.0/24     # CDN77.com Chicago (US) POP

# --- ISP: CDN77.com Frankfurt (Germany) POP | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
185.102.219.0/24     # CDN77.com Frankfurt (Germany) POP

# --- ISP: CDN77.com Frankfurt(Germany) POP | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
185.59.220.0/24      # CDN77.com Frankfurt(Germany) POP

# --- ISP: CDN77.com London (United Kingdom) POP | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
185.59.221.0/24      # CDN77.com London (United Kingdom) POP

# --- ISP: CDN77.com Paris (FR) POP | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
185.246.211.0/24     # CDN77.com Paris (FR) POP

# --- ISP: CDN77.com Stockholm (Sweden) POP | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
185.76.9.0/24        # CDN77.com Stockholm (Sweden) POP

# --- ISP: CDN77.com Stockholm (Sweden) POP-2 | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
195.181.166.0/24     # CDN77.com Stockholm (Sweden) POP-2

# --- ISP: CDN77.com Warsaw (Poland) POP | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
185.246.208.0/24     # CDN77.com Warsaw (Poland) POP

# --- ISP: Celestica International LP | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
135.12.28.0/22       # Celestica International LP

# --- ISP: Chengdu Yanling Technology Co., Ltd. | prefixes: 2 | IPv4 addrs: 4,096 | IPv6 addrs: 0 ---
38.15.160.0/21       # Chengdu Yanling Technology Co., Ltd.
38.194.208.0/21      # Chengdu Yanling Technology Co., Ltd.

# --- ISP: Chief Telecom Inc. | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
223.26.72.0/22       # Chief Telecom Inc.

# --- ISP: Chistakova Ludmila | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
185.161.251.0/24     # Chistakova Ludmila

# --- ISP: Chiyoda-ku, Tokyo 106-258, Japan | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
103.103.247.0/24     # Chiyoda-ku, Tokyo 106-258, Japan

# --- ISP: City of Waltham | prefixes: 1 | IPv4 addrs: 2,048 | IPv6 addrs: 0 ---
206.208.184.0/21     # City of Waltham

# --- ISP: City of Williston FL Broadband | prefixes: 1 | IPv4 addrs: 2,048 | IPv6 addrs: 0 ---
38.75.240.0/21       # City of Williston FL Broadband

# --- ISP: cleardocks LLC | prefixes: 23 | IPv4 addrs: 32,768 | IPv6 addrs: 0 ---
2.57.76.0/22         # cleardocks LLC
14.102.28.0/22       # cleardocks LLC
45.78.84.0/22        # cleardocks LLC
45.120.188.0/22      # cleardocks LLC
91.203.128.0/22      # cleardocks LLC
91.233.108.0/22      # cleardocks LLC
91.235.208.0/22      # cleardocks LLC
94.139.224.0/20      # cleardocks LLC
103.73.152.0/22      # cleardocks LLC
103.206.14.0/23      # cleardocks LLC
103.211.84.0/22      # cleardocks LLC
103.211.88.0/22      # cleardocks LLC
103.235.164.0/23     # cleardocks LLC
104.204.200.0/21     # cleardocks LLC
110.172.128.0/23     # cleardocks LLC
114.69.250.0/23      # cleardocks LLC
160.202.52.0/22      # cleardocks LLC
198.13.192.0/21      # cleardocks LLC
198.13.208.0/20      # cleardocks LLC
198.13.224.0/21      # cleardocks LLC
198.13.236.0/22      # cleardocks LLC
198.13.240.0/21      # cleardocks LLC
209.40.208.0/21      # cleardocks LLC

# --- ISP: Cloud Innovation Ltd | prefixes: 2 | IPv4 addrs: 33,280 | IPv6 addrs: 0 ---
45.194.112.0/23      # Cloud Innovation Ltd
154.217.0.0/17       # Cloud Innovation Ltd

# --- ISP: Cloudfanatic | prefixes: 3 | IPv4 addrs: 1,792 | IPv6 addrs: 0 ---
107.152.43.0/24      # Cloudfanatic
107.152.44.0/22      # Cloudfanatic
130.51.20.0/23       # Cloudfanatic

# --- ISP: Cloudfanatic.NET | prefixes: 6 | IPv4 addrs: 5,888 | IPv6 addrs: 0 ---
23.158.232.0/23      # Cloudfanatic.NET
107.152.32.0/21      # Cloudfanatic.NET
107.152.40.0/23      # Cloudfanatic.NET
107.152.42.0/24      # Cloudfanatic.NET
130.51.22.0/23       # Cloudfanatic.NET
162.212.152.0/21     # Cloudfanatic.NET

# --- ISP: CloudLoop Pty Ltd | prefixes: 1 | IPv4 addrs: 512 | IPv6 addrs: 0 ---
103.26.236.0/23      # CloudLoop Pty Ltd

# --- ISP: Cloudrift Hosting Services | prefixes: 1 | IPv4 addrs: 2,048 | IPv6 addrs: 0 ---
38.124.224.0/21      # Cloudrift Hosting Services

# --- ISP: CLS Network Technology Co. Ltd. | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
23.234.84.0/24       # CLS Network Technology Co. Ltd.

# --- ISP: Code 200 UAB | prefixes: 1 | IPv4 addrs: 2,048 | IPv6 addrs: 0 ---
154.3.136.0/21       # Code 200 UAB

# --- ISP: Code 200, UAB | prefixes: 35 | IPv4 addrs: 92,160 | IPv6 addrs: 0 ---
38.18.0.0/19         # Code 200, UAB
38.70.224.0/21       # Code 200, UAB
38.77.208.0/20       # Code 200, UAB
38.78.224.0/21       # Code 200, UAB
38.79.208.0/20       # Code 200, UAB
38.80.16.0/20        # Code 200, UAB
38.94.176.0/20       # Code 200, UAB
38.128.48.0/20       # Code 200, UAB
38.131.160.0/20      # Code 200, UAB
38.132.192.0/21      # Code 200, UAB
38.133.80.0/20       # Code 200, UAB
149.5.132.0/22       # Code 200, UAB
149.12.112.0/21      # Code 200, UAB
149.12.164.0/22      # Code 200, UAB
149.13.8.0/21        # Code 200, UAB
149.13.180.0/22      # Code 200, UAB
149.36.8.0/21        # Code 200, UAB
149.71.192.0/22      # Code 200, UAB
149.71.200.0/21      # Code 200, UAB
149.100.184.0/21     # Code 200, UAB
149.115.128.0/19     # Code 200, UAB
154.3.144.0/20       # Code 200, UAB
154.3.160.0/21       # Code 200, UAB
154.3.176.0/20       # Code 200, UAB
154.9.8.0/21         # Code 200, UAB
154.13.72.0/21       # Code 200, UAB
154.46.4.0/22        # Code 200, UAB
154.47.76.0/22       # Code 200, UAB
154.49.196.0/22      # Code 200, UAB
154.49.200.0/21      # Code 200, UAB
154.50.136.0/22      # Code 200, UAB
154.51.140.0/22      # Code 200, UAB
154.51.168.0/21      # Code 200, UAB
154.51.176.0/21      # Code 200, UAB
154.60.68.0/22       # Code 200, UAB

# --- ISP: code200 | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
45.148.188.0/22      # code200

# --- ISP: Code200 UAB | prefixes: 64 | IPv4 addrs: 40,192 | IPv6 addrs: 0 ---
79.121.140.0/22      # Code200 UAB
79.121.144.0/23      # Code200 UAB
79.121.150.0/23      # Code200 UAB
79.121.156.0/23      # Code200 UAB
79.121.166.0/23      # Code200 UAB
79.121.168.0/23      # Code200 UAB
79.121.178.0/23      # Code200 UAB
79.121.180.0/23      # Code200 UAB
79.121.184.0/23      # Code200 UAB
79.121.212.0/22      # Code200 UAB
79.121.216.0/22      # Code200 UAB
79.121.232.0/22      # Code200 UAB
84.37.34.0/23        # Code200 UAB
84.37.38.0/23        # Code200 UAB
92.71.66.0/23        # Code200 UAB
92.71.98.0/23        # Code200 UAB
92.71.124.0/23       # Code200 UAB
95.177.0.0/23        # Code200 UAB
95.177.20.0/23       # Code200 UAB
95.177.64.0/23       # Code200 UAB
95.177.68.0/22       # Code200 UAB
95.177.76.0/22       # Code200 UAB
95.177.80.0/22       # Code200 UAB
95.177.104.0/22      # Code200 UAB
95.177.114.0/23      # Code200 UAB
95.177.124.0/22      # Code200 UAB
109.174.128.0/22     # Code200 UAB
109.174.134.0/23     # Code200 UAB
109.174.136.0/23     # Code200 UAB
109.174.140.0/22     # Code200 UAB
109.174.152.0/23     # Code200 UAB
109.174.160.0/22     # Code200 UAB
109.174.168.0/23     # Code200 UAB
109.174.172.0/23     # Code200 UAB
109.174.176.0/20     # Code200 UAB
109.174.250.0/23     # Code200 UAB
109.204.6.0/23       # Code200 UAB
109.204.12.0/23      # Code200 UAB
109.204.20.0/24      # Code200 UAB
109.204.28.0/24      # Code200 UAB
109.204.32.0/23      # Code200 UAB
109.204.40.0/24      # Code200 UAB
109.204.44.0/24      # Code200 UAB
109.204.55.0/24      # Code200 UAB
109.204.59.0/24      # Code200 UAB
109.204.60.0/23      # Code200 UAB
109.204.72.0/23      # Code200 UAB
109.204.82.0/23      # Code200 UAB
109.204.92.0/23      # Code200 UAB
109.204.113.0/24     # Code200 UAB
109.204.120.0/24     # Code200 UAB
109.204.124.0/23     # Code200 UAB
135.196.24.0/23      # Code200 UAB
135.196.28.0/23      # Code200 UAB
135.196.88.0/23      # Code200 UAB
135.196.102.0/23     # Code200 UAB
135.196.132.0/23     # Code200 UAB
135.196.156.0/23     # Code200 UAB
135.196.164.0/23     # Code200 UAB
135.196.172.0/23     # Code200 UAB
135.196.176.0/23     # Code200 UAB
135.196.185.0/24     # Code200 UAB
213.201.242.0/23     # Code200 UAB
213.201.252.0/23     # Code200 UAB

# --- ISP: code200, UAB | prefixes: 6 | IPv4 addrs: 1,536 | IPv6 addrs: 0 ---
104.164.44.0/24      # code200, UAB
104.164.120.0/24     # code200, UAB
